bloaz,pH_KCl,KA,Ossz_so,CaCO3,Humusz,NO3_N,P2O5,K2O,Mg,Na,Zn,Cu,Mn,SO4,pH_KCl_range,KA_range,Ossz_so_range,CaCO3_range,Humusz_range,NO3_N_range,P2O5_range,K2O_range,Mg_range,Na_range,Zn_range,Cu_range,Mn_range,SO4_range
K46VEC12,7.2,59,0.03,14.8,2.3,22.8,383.9,260.4,335.5,46.5,1.7,5,19.7,5,50%-75%,Upper-range,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,Low-range,Low-range
J20L8M13,7.5,40,0.02,12.9,1.7,20.8,217.7,171,116.7,15.5,0.6,1.2,8.5,5,Upper-range,Low-range,Low-range,Upper-range,25%-50%,50%-75%,50%-75%,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
V1MAEH13,5.8,44,0.03,0.2,1.1,57.5,64.2,160.8,370.9,25.7,0.6,1.6,170.4,7.7,25%-50%,25%-50%,50%-75%,Low-range,Low-range,Upper-range,Low-range,Low-range,50%-75%,25%-50%,Low-range,Low-range,50%-75%,Upper-range
NWEWV113,7.49,36,0.02,5.33,2.3573,11.8,72.09,216.0565,78.96,32.4,0.597,1.841,28.42,50.1,Upper-range,Low-range,Low-range,Upper-range,50%-75%,25%-50%,Low-range,25%-50%,Low-range,50%-75%,Low-range,25%-50%,Low-range,Upper-range
VJ7HHU13,7.4,46,0.02,3.1,2.3,18.9,137.3,225.6,158.6,28,0.6,1.2,13.6,5,Upper-range,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range
TW13EJ15,6.84,40,0.04,1,2.34,15.9,95,250,115,18.1,1.4,3.6,36,12.8,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%,Low-range,Low-range,50%-75%,50%-75%,25%-50%,Upper-range
C9U7XV13,5.5,47,0.02,0.2,1.4,26.6,132.5,271.034848,181.49,30.10585,3.7,3.7506,299.895,6.4,Low-range,50%-75%,Low-range,Low-range,Low-range,Upper-range,25%-50%,50%-75%,25%-50%,50%-75%,Upper-range,Upper-range,Upper-range,50%-75%
Y20DJ412,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
RH3VDT12,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
TMCWHH15,6.84,40,0.04,1,2.34,15.9,95,250,115,18.1,1.4,3.6,36,12.8,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%,Low-range,Low-range,50%-75%,50%-75%,25%-50%,Upper-range
Y0K6A712,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
V4EFUX13,7.3,40,0.02,0.7,2,11.3,81.2,196.5,159.5,16.5,0.6,2.1,99.9,15.6,50%-75%,Low-range,Low-range,50%-75%,25%-50%,Low-range,25%-50%,25%-50%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,Upper-range
V2XX2313,5.8,44,0.03,0.2,1.1,57.5,64.2,160.8,370.9,25.7,0.6,1.6,170.4,7.7,25%-50%,25%-50%,50%-75%,Low-range,Low-range,Upper-range,Low-range,Low-range,50%-75%,25%-50%,Low-range,Low-range,50%-75%,Upper-range
VUT9HJ13,7.4,46,0.02,3.1,2.3,18.9,137.3,225.6,158.6,28,0.6,1.2,13.6,5,Upper-range,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range
H9FQDN15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
FHJMR615,5,46,0.04,0.2,1.7,41.4,227,270.1,356.4,19.8,2.9,4.7,249.5,11.2,Low-range,25%-50%,Upper-range,Low-range,25%-50%,Upper-range,50%-75%,50%-75%,50%-75%,Low-range,Upper-range,Upper-range,Upper-range,Upper-range
Y0DDJF12,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
X6NTPH12,7.8,32,0.02,7.7,1.2,5.5,374.12139684,345.321648,41.77125,31.75978,1.2414,0.9562,8.6758,5,Upper-range,Low-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Low-range,50%-75%,25%-50%,Low-range,Low-range,Low-range
RENND412,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
